K,X's_Bisseccao,X's_Mil,X's_Newton,X's_Secante,X's_RegulaFalsi
1,1.0,0.7182818284590451,1.163953413738653,1.0767462531834628,1.0767462531834628
2,1.0,0.0509063726925012,1.1464211850430086,1.113782264802937,1.113782264802937
3,1.125,-0.947775628263688,1.1461932587044987,1.1479131647891898,1.131195342424813
4,1.125,-1.612397763269514,1.1461932206205836,1.1461518552407277,1.1392808032623643
5,1.125,-1.800591094959094,,1.1461931685075115,1.1430132465702925
6,1.140625,-1.834798790246516,,,1.144731565238369
7,1.140625,-1.8403543792073163,,,1.1455216447739334
8,1.14453125,-1.8412388455153157,,,1.145884712662962
9,1.14453125,-1.8413792023278908,,,1.1460515103021793
10,1.1455078125,-1.8414014642751155,,,1.146128129769988
11,1.14599609375,-1.8414049949480478,,,1.146163323402405
12,1.14599609375,-1.8414055548941508,,,1.146179488484271
13,1.1461181640625,,,,1.1461869133157772
14,1.14617919921875,,,,1.1461903236186015
15,1.14617919921875,,,,1.1461918900024872
16,1.14617919921875,,,,1.146192609456389
17,1.1461868286132812,,,,1.1461929399077235
18,1.1461906433105469,,,,
19,1.1461925506591797,,,,
20,1.1461925506591797,,,,
